arxiv_id,title,authors,subjects,submitted,abstract_raw,abstract_clean,tokens,abstract_word_count,token_count,unique_token_count,type_token_ratio,author_count,paper_index,source_url
2602.20021,Agents of Chaos,"Natalie Shapira, Chris Wendler, Avery Yen, Gabriele Sarti, Koyena Pal, Olivia Floody, Adam Belfki, Alex Loftus, Aditya Ratan Jannali, Nikhil Prakash, Jasmine Cui, Giordano Rogers, Jannik Brinkmann, Can Rager, Amir Zur, Michael Ripa, Aruna Sankaranarayanan, David Atkinson, Rohit Gandikota, Jaden Fiotto-Kaufman, EunJeong Hwang, Hadas Orgad, P Sam Sahil, Negev Taglicht, Tomer Shabtay, Atai Ambus, Nitay Alon, Shiri Oron, Ayelet Gordon-Tapiero, Yotam Kaplan, Vered Shwartz, Tamar Rott Shaham, Christoph Riedl, Reuth Mirsky, Maarten Sap, David Manheim, Tomer Ullman, David Bau",Computer Science > Artificial Intelligence,[Submitted on 23 Feb 2026],"We report an exploratory red-teaming study of autonomous language-model-powered agents deployed in a live laboratory environment with persistent memory, email accounts, Discord access, file systems, and shell execution. Over a two-week period, twenty AI researchers interacted with the agents under benign and adversarial conditions. Focusing on failures emerging from the integration of language models with autonomy, tool use, and multi-party communication, we document eleven representative case studies. Observed behaviors include unauthorized compliance with non-owners, disclosure of sensitive information, execution of destructive system-level actions, denial-of-service conditions, uncontrolled resource consumption, identity spoofing vulnerabilities, cross-agent propagation of unsafe practices, and partial system takeover. In several cases, agents reported task completion while the underlying system state contradicted those reports. We also report on some of the failed attempts. Our findings establish the existence of security-, privacy-, and governance-relevant vulnerabilities in realistic deployment settings. These behaviors raise unresolved questions regarding accountability, delegated authority, and responsibility for downstream harms, and warrant urgent attention from legal scholars, policymakers, and researchers across disciplines. This report serves as an initial empirical contribution to that broader conversation.",report exploratory redteaming study autonomous languagemodelpowered agents deployed live laboratory environment persistent memory email accounts discord access file systems shell execution twoweek period ai researchers interacted agents benign adversarial conditions focusing failures emerging integration language models autonomy tool use multiparty communication document representative case studies observed behaviors include unauthorized compliance nonowners disclosure sensitive information execution destructive systemlevel actions denialofservice conditions uncontrolled resource consumption identity spoofing vulnerabilities crossagent propagation unsafe practices partial system takeover cases agents reported task completion underlying system state contradicted reports report failed attempts findings establish existence security privacy governancerelevant vulnerabilities realistic deployment settings behaviors raise unresolved questions accountability delegated authority responsibility downstream harms warrant urgent attention legal scholars policymakers researchers disciplines report serves initial empirical contribution broader conversation,report exploratory redteaming study autonomous languagemodelpowered agents deployed live laboratory environment persistent memory email accounts discord access file systems shell execution twoweek period ai researchers interacted agents benign adversarial conditions focusing failures emerging integration language models autonomy tool use multiparty communication document representative case studies observed behaviors include unauthorized compliance nonowners disclosure sensitive information execution destructive systemlevel actions denialofservice conditions uncontrolled resource consumption identity spoofing vulnerabilities crossagent propagation unsafe practices partial system takeover cases agents reported task completion underlying system state contradicted reports report failed attempts findings establish existence security privacy governancerelevant vulnerabilities realistic deployment settings behaviors raise unresolved questions accountability delegated authority responsibility downstream harms warrant urgent attention legal scholars policymakers researchers disciplines report serves initial empirical contribution broader conversation,177,121,111,0.9174,38,1,https://arxiv.org/abs/2602.20021
2604.01869,GeoAI Agency Primitives,"Akram Zaytar, Rohan Sawahn, Caleb Robinson, Gilles Q. Hacheme, Girmaw A. Tadesse, Inbal Becker-Reshef, Rahul Dodhia, Juan Lavista Ferres",Computer Science > Computer Vision and Pattern Recognition,[Submitted on 2 Apr 2026],"We present ongoing research on agency primitives for GeoAI assistants -- core capabilities that connect Foundation models to the artifact-centric, human-in-the-loop workflows where GIS practitioners actually work. Despite advances in satellite image captioning, visual question answering, and promptable segmentation, these capabilities have not translated into productivity gains for practitioners who spend most of their time producing vector layers, raster maps, and cartographic products. The gap is not model capability alone but the absence of an agency layer that supports iterative collaboration. We propose a vocabulary of $9$ primitives for such a layer -- including navigation, perception, geo-referenced memory, and dual modeling -- along with a benchmark that measures human productivity. Our goal is a vocabulary that makes agentic assistance in GIS implementable, testable, and comparable.",present ongoing research agency primitives geoai assistants core capabilities connect foundation models artifactcentric humanintheloop workflows gis practitioners actually work despite advances satellite image captioning visual question answering promptable segmentation capabilities translated productivity gains practitioners spend time producing vector layers raster maps cartographic products gap model capability absence agency layer supports iterative collaboration propose vocabulary 9 primitives layer including navigation perception georeferenced memory dual modeling benchmark measures human productivity goal vocabulary makes agentic assistance gis implementable testable comparable,present ongoing research agency primitives geoai assistants core capabilities connect foundation models artifactcentric humanintheloop workflows gis practitioners actually work despite advances satellite image captioning visual question answering promptable segmentation capabilities translated productivity gains practitioners spend time producing vector layers raster maps cartographic products gap model capability absence agency layer supports iterative collaboration propose vocabulary 9 primitives layer including navigation perception georeferenced memory dual modeling benchmark measures human productivity goal vocabulary makes agentic assistance gis implementable testable comparable,125,77,69,0.8961,8,2,https://arxiv.org/abs/2604.01869
